account,sale_month,gained_locations,lost_locations,net_location_change
CLARKE,2024-12-01 00:00:00,1,0,1
MONROE,2024-12-01 00:00:00,1,2,-1
CEDAR,2024-12-01 00:00:00,2,1,1
MONONA,2024-12-01 00:00:00,1,0,1
MUSCATINE,2024-12-01 00:00:00,4,5,-1
DUBUQUE,2024-12-01 00:00:00,11,10,1
HUMBOLDT,2024-12-01 00:00:00,0,1,-1
PLYMOUTH,2024-12-01 00:00:00,1,0,1
LYON,2024-12-01 00:00:00,2,3,-1
WRIGHT,2024-12-01 00:00:00,2,1,1
WINNESHIEK,2024-12-01 00:00:00,2,1,1
CLAYTON,2024-12-01 00:00:00,1,2,-1
GREENE,2024-12-01 00:00:00,1,1,0
SAC,2024-12-01 00:00:00,1,1,0
TAYLOR,2024-12-01 00:00:00,0,0,0
DELAWARE,2024-12-01 00:00:00,1,1,0
WAPELLO,2024-12-01 00:00:00,4,4,0
PALO ALTO,2024-12-01 00:00:00,1,1,0
CHICKASAW,2024-12-01 00:00:00,1,1,0
WINNEBAGO,2024-12-01 00:00:00,1,1,0
MARION,2024-12-01 00:00:00,3,3,0
CERRO GORDO,2024-12-01 00:00:00,5,5,0
FRANKLIN,2024-12-01 00:00:00,1,1,0
ALLAMAKEE,2024-12-01 00:00:00,1,1,0
POLK,2024-11-01 00:00:00,57,43,14
DES MOINES,2024-11-01 00:00:00,13,2,11
JOHNSON,2024-11-01 00:00:00,9,19,-10
LINN,2024-11-01 00:00:00,30,21,9
BLACK HAWK,2024-11-01 00:00:00,11,19,-8
MUSCATINE,2024-11-01 00:00:00,9,2,7
SCOTT,2024-11-01 00:00:00,14,20,-6
POWESHIEK,2024-11-01 00:00:00,1,6,-5
DUBUQUE,2024-11-01 00:00:00,13,8,5
BOONE,2024-11-01 00:00:00,5,0,5
MADISON,2024-11-01 00:00:00,4,0,4
LUCAS,2024-11-01 00:00:00,4,0,4
WOODBURY,2024-11-01 00:00:00,10,13,-3
APPANOOSE,2024-11-01 00:00:00,3,0,3
CLARKE,2024-11-01 00:00:00,0,3,-3
O'BRIEN,2024-11-01 00:00:00,4,1,3
FLOYD,2024-11-01 00:00:00,1,4,-3
CLINTON,2024-11-01 00:00:00,7,4,3
WEBSTER,2024-11-01 00:00:00,4,1,3
WRIGHT,2024-11-01 00:00:00,1,4,-3
IOWA,2024-11-01 00:00:00,2,5,-3
WAPELLO,2024-11-01 00:00:00,6,3,3
CARROLL,2024-11-01 00:00:00,0,3,-3
GUTHRIE,2024-11-01 00:00:00,0,3,-3
CERRO GORDO,2024-11-01 00:00:00,7,4,3
GRUNDY,2024-11-01 00:00:00,3,0,3
MAHASKA,2024-11-01 00:00:00,4,2,2
AUDUBON,2024-11-01 00:00:00,0,2,-2
CHICKASAW,2024-11-01 00:00:00,2,0,2
MONROE,2024-11-01 00:00:00,2,0,2
HAMILTON,2024-11-01 00:00:00,3,1,2
BUENA VISTA,2024-11-01 00:00:00,3,1,2
KOSSUTH,2024-11-01 00:00:00,3,1,2
RINGGOLD,2024-11-01 00:00:00,2,0,2
BUTLER,2024-11-01 00:00:00,3,1,2
HOWARD,2024-11-01 00:00:00,2,0,2
HANCOCK,2024-11-01 00:00:00,0,2,-2
PLYMOUTH,2024-11-01 00:00:00,4,2,2
MONONA,2024-11-01 00:00:00,0,2,-2
PAGE,2024-11-01 00:00:00,3,1,2
JASPER,2024-11-01 00:00:00,3,5,-2
ADAMS,2024-11-01 00:00:00,2,0,2
PALO ALTO,2024-11-01 00:00:00,1,3,-2
JEFFERSON,2024-11-01 00:00:00,1,3,-2
POTTAWATTAMIE,2024-11-01 00:00:00,14,12,2
UNION,2024-11-01 00:00:00,1,3,-2
MARION,2024-11-01 00:00:00,4,2,2
CRAWFORD,2024-11-01 00:00:00,1,2,-1
VAN BUREN,2024-11-01 00:00:00,0,1,-1
HENRY,2024-11-01 00:00:00,2,1,1
MITCHELL,2024-11-01 00:00:00,1,0,1
WINNEBAGO,2024-11-01 00:00:00,1,0,1
STORY,2024-11-01 00:00:00,12,11,1
BENTON,2024-11-01 00:00:00,5,4,1
BUCHANAN,2024-11-01 00:00:00,3,4,-1
FREMONT,2024-11-01 00:00:00,1,0,1
KEOKUK,2024-11-01 00:00:00,0,1,-1
FAYETTE,2024-11-01 00:00:00,2,1,1
WORTH,2024-11-01 00:00:00,0,1,-1
CEDAR,2024-11-01 00:00:00,2,1,1
FRANKLIN,2024-11-01 00:00:00,1,0,1
JACKSON,2024-11-01 00:00:00,1,0,1
WASHINGTON,2024-11-01 00:00:00,2,1,1
CASS,2024-11-01 00:00:00,2,1,1
DALLAS,2024-11-01 00:00:00,10,9,1
SAC,2024-11-01 00:00:00,1,0,1
BREMER,2024-11-01 00:00:00,2,1,1
TAYLOR,2024-11-01 00:00:00,1,0,1
MARSHALL,2024-11-01 00:00:00,4,3,1
WAYNE,2024-11-01 00:00:00,1,2,-1
IDA,2024-11-01 00:00:00,0,1,-1
ALLAMAKEE,2024-11-01 00:00:00,2,1,1
LYON,2024-11-01 00:00:00,3,2,1
WINNESHIEK,2024-11-01 00:00:00,1,2,-1
CLAYTON,2024-11-01 00:00:00,2,1,1
HUMBOLDT,2024-11-01 00:00:00,1,0,1
MONTGOMERY,2024-11-01 00:00:00,1,2,-1
SHELBY,2024-11-01 00:00:00,0,1,-1
LEE,2024-11-01 00:00:00,4,3,1
JONES,2024-11-01 00:00:00,1,2,-1
HARRISON,2024-11-01 00:00:00,1,2,-1
