account,sale_month,total_volume_liters,total_sales_dollars,total_bottles,active_locations,active_items,mom_volume_liters,mom_volume_pct,mom_sales_dollars,mom_sales_pct,yoy_volume_liters,yoy_volume_pct,roll3_volume_liters
SHELBY,2024-06-01,1.9700000000000002,245.55,6.0,3,3,0.7700000000000002,0.6416666666666669,214.11,6.810114503816794,-37.97,-0.9506760140210315,18.69
HOWARD,2024-06-01,1.95,280.05,21.0,4,4,1.05,1.1666666666666667,118.5,0.7335190343546889,0.07999999999999985,0.04278074866310152,16.683333333333334
FREMONT,2024-06-01,1.82,116.88000000000001,17.0,2,3,0.020000000000000018,0.01111111111111112,-115.31999999999998,-0.49664082687338496,1.6700000000000002,11.133333333333335,1.8233333333333335
IOWA,2024-06-01,1.0,155.72000000000003,6.0,5,5,-53.800000000000004,-0.9817518248175182,-497.92999999999995,-0.7617685305591677,-34.5,-0.971830985915493,34.07333333333333
ADAIR,2024-06-01,0.9,39.75,4.0,1,2,0.09999999999999998,0.12499999999999997,-145.21,-0.7850886678200693,0.75,5.0,0.6333333333333333
EMMET,2024-06-01,0.9,111.4,5.0,2,3,-106.59999999999998,-0.9916279069767441,-1684.3999999999999,-0.9379663659650295,-1.4500000000000002,-0.6170212765957447,123.68333333333332
UNION,2024-06-01,0.8,49.28,2.0,2,2,-3.55,-0.8160919540229885,-520.32,-0.9134831460674158,-34.85,-0.9775596072931277,2.2499999999999996
OSCEOLA,2024-06-01,0.75,11.25,1.0,1,1,0.38,1.027027027027027,-1.5,-0.11764705882352941,,,0.64
IDA,2024-06-01,0.75,41.24,1.0,1,1,-0.8500000000000001,-0.53125,-5.899999999999999,-0.12515910055154855,-46.75,-0.9842105263157894,0.8000000000000002
POCAHONTAS,2024-06-01,0.65,203.4,13.0,2,2,0.5,3.3333333333333335,176.79000000000002,6.643742953776776,0.55,5.5,14.266666666666666
WINNEBAGO,2024-06-01,0.65,91.89,13.0,2,2,-1.9,-0.7450980392156863,-32.60000000000001,-0.2618684231665194,-0.9500000000000001,-0.59375,1.6666666666666667
MITCHELL,2024-06-01,0.6,87.12,12.0,1,1,-0.15000000000000002,-0.20000000000000004,61.64,2.4191522762951334,,,0.7000000000000001
GREENE,2024-06-01,0.5,425.7,10.0,2,2,0.3,1.4999999999999998,378.27,7.975332068311195,-44.75,-0.988950276243094,35.4
CEDAR,2024-06-01,0.25,153.1,5.0,2,2,-6.32,-0.9619482496194824,-26.920000000000016,-0.14953894011776478,-2.2,-0.8979591836734694,3.6133333333333333
APPANOOSE,2024-06-01,0.15000000000000002,232.20000000000002,3.0,1,2,-33.150000000000006,-0.9954954954954955,-73.79999999999998,-0.24117647058823524,-1.0499999999999998,-0.8749999999999999,12.483333333333334
WAYNE,2024-06-01,0.1,154.8,2.0,1,2,-0.65,-0.8666666666666667,117.30000000000001,3.128,-0.65,-0.8666666666666667,1.1566666666666667
HANCOCK,2024-06-01,0.05,77.4,1.0,1,1,0.0,0.0,0.0,0.0,-2.3000000000000003,-0.9787234042553192,10.533333333333333
HUMBOLDT,2024-06-01,0.05,77.4,1.0,1,1,-1.9200000000000002,-0.9746192893401016,-26.539999999999992,-0.2553396190109678,-53.050000000000004,-0.9990583804143127,2.0900000000000003
BUENA VISTA,2024-06-01,0.05,9.9,1.0,1,1,-4.6499999999999995,-0.9893617021276596,-221.4,-0.9571984435797665,-2.2700000000000005,-0.9784482758620691,15.333333333333334
POLK,2024-07-01,3960.350000000001,77182.10999999988,4412.0,119,173,1745.690000000001,0.7882428905565645,12359.93999999985,0.19067457939158536,-1018.2600000000107,-0.20452696636209872,3122.8466666666677
LINN,2024-07-01,2902.180000000001,40175.070000000014,2711.0,55,100,1917.420000000002,1.9470937081116244,18805.32,0.8799971922928432,1318.4600000000034,0.8325082716641864,1660.2366666666665
CARROLL,2024-07-01,2173.4500000000003,21955.210000000006,1272.0,4,14,2166.3500000000004,305.1197183098592,21736.380000000005,99.32998217794636,1938.8500000000001,8.264492753623188,730.5666666666667
SCOTT,2024-07-01,1057.2699999999986,17283.68,1627.0,40,70,464.3199999999988,0.7830677122860257,2272.150000000007,0.151360321033233,577.9899999999984,1.205954765481552,805.0033333333326
DUBUQUE,2024-07-01,876.3899999999999,14478.419999999996,1087.0,16,24,574.9499999999997,1.907344745222928,6565.729999999998,0.8297721760867668,688.8799999999999,3.673830729027784,599.0866666666667
LEE,2024-07-01,732.4699999999998,7483.63,501.0,9,18,691.9999999999998,17.09908574252532,5622.19,3.020344464500601,439.91999999999973,1.5037429499230888,512.3366666666666
BLACK HAWK,2024-07-01,629.89,15052.720000000003,729.0,32,61,101.64999999999975,0.1924314705436917,5582.270000000008,0.589440839664431,519.98,4.730961695933038,521.2333333333335
DALLAS,2024-07-01,524.4699999999998,15523.960000000001,703.0,17,30,-131.8800000000001,-0.20092938218938086,-7131.070000000005,-0.3147676255560025,324.9699999999998,1.6289223057644098,673.6966666666666
JOHNSON,2024-07-01,505.54000000000036,9860.060000000001,679.0,33,50,66.80000000000018,0.15225418243150876,-2973.2499999999964,-0.23168223942225324,-499.4899999999995,-0.4969901395978225,528.7933333333334
WOODBURY,2024-07-01,401.90000000000026,12659.749999999996,720.0,27,38,-195.81999999999965,-0.32761159071136936,-11022.080000000005,-0.4654234913433634,178.75000000000023,0.8010306968406911,505.8866666666668
DICKINSON,2024-07-01,321.3400000000001,5892.820000000001,406.0,9,29,116.12000000000009,0.5658317902738529,3391.590000000001,1.3559688633192475,-631.2599999999998,-0.6626705857652738,201.09333333333336
POTTAWATTAMIE,2024-07-01,253.89000000000007,8423.809999999998,685.0,30,41,74.94999999999996,0.41885548228456415,2908.779999999997,0.5274277746449243,175.3300000000001,2.231797352342161,249.79000000000016
STORY,2024-07-01,246.48999999999998,8255.769999999999,405.0,22,26,138.29999999999998,1.2783066826878637,4020.0099999999984,0.9490646306684039,-235.36000000000016,-0.4884507626854832,243.80000000000004
CLINTON,2024-07-01,232.82000000000002,4865.599999999999,365.0,11,21,58.35000000000002,0.33444145125236446,2120.83,0.7726804067371766,-680.5499999999998,-0.7450978245398906,356.47
LUCAS,2024-07-01,165.35,4865.6900000000005,231.0,2,6,132.18,3.9849261380765753,4409.47,9.665227302617158,164.2,142.7826086956522,68.85666666666667
CERRO GORDO,2024-07-01,148.56000000000003,2385.9499999999994,244.0,8,19,-1.650000000000034,-0.010984621529858421,-740.3599999999997,-0.23681592676350072,-163.46,-0.5238766745721428,288.29
JONES,2024-07-01,147.04000000000002,1244.81,108.0,4,11,143.64000000000001,42.247058823529414,894.79,2.5563967773270098,145.19000000000003,78.48108108108109,50.413333333333334
CLAY,2024-07-01,136.95000000000002,1687.85,106.0,2,6,23.300000000000026,0.20501539815222197,-308.9400000000003,-0.1547183229082679,71.01000000000002,1.0768880800727938,86.85000000000001
LYON,2024-07-01,124.89999999999999,1588.5,102.0,5,9,122.77999999999999,57.915094339622634,1444.68,10.045056320400501,123.74999999999999,107.6086956521739,44.173333333333325
IOWA,2024-07-01,116.84999999999998,1999.24,172.0,7,8,115.84999999999998,115.84999999999998,1843.52,11.838684818905726,71.38,1.5698262590719156,57.54999999999999
FLOYD,2024-07-01,108.09999999999997,2016.66,158.0,7,12,54.29999999999997,1.0092936802973973,1438.2600000000002,2.4866182572614113,93.04999999999997,6.182724252491691,83.53333333333332
CASS,2024-07-01,93.67,2071.87,90.0,5,7,91.17,36.468,1990.3899999999999,24.427957781050562,37.17000000000001,0.6578761061946905,32.339999999999996
